
=== Testing on: shell | Scale: 2 x 2 ===
Algoritm: Nearest | Time: 7 ms | PSNR: inf | SSIM: 1.000000 | RMSE: 0.000000
Algoritm: OpenCV Nearest | Time: 0 ms | PSNR: 26.894686 | SSIM: 0.895929 | RMSE: 11.529378
Algoritm: OpenCV Bilinear | Time: 1 ms | PSNR: 28.573483 | SSIM: 0.920228 | RMSE: 9.503116
Algoritm: OpenCV Bicubic | Time: 0 ms | PSNR: 29.305270 | SSIM: 0.932978 | RMSE: 8.735277
Algoritm: OpenCV Lanczos | Time: 6 ms | PSNR: 29.015018 | SSIM: 0.928871 | RMSE: 9.032111

=== Testing on: balloons | Scale: 1.5 x 0.75 ===
Algoritm: Nearest | Time: 4 ms | PSNR: 29.901841 | SSIM: 0.952509 | RMSE: 8.155454
Algoritm: Bilinear | Time: 14 ms | PSNR: 32.850273 | SSIM: 0.972451 | RMSE: 5.807999
Algoritm: Bicubic (a=-0.5) | Time: 101 ms | PSNR: 33.883722 | SSIM: 0.978444 | RMSE: 5.156489
Algoritm: Bicubic (a=-0.7) | Time: 77 ms | PSNR: 34.098265 | SSIM: 0.979647 | RMSE: 5.030683
Algoritm: Bicubic (a=-1.0) | Time: 79 ms | PSNR: 34.198925 | SSIM: 0.980383 | RMSE: 4.972719
Algoritm: Lanczos (a=2) | Time: 246 ms | PSNR: 33.862007 | SSIM: 0.978378 | RMSE: 5.169396
